"נ""ז",סמס,חדר,שעות,יום,מורה,שם שעור
4.0,א,60.0.28,12:00 - 09:00,ג,"ד""ר ניבש גבריאל",אלגוריתמים 1
4.0,א,60.0.16,12:00 - 09:00,ה,"ד""ר ניבש קרן",אלגוריתמים 1
4.0,א,56.2.9,16:00 - 13:00,ה,"ד""ר ניבש קרן",אלגוריתמים 1
4.0,א,53.1.51,13:00 - 10:00,א,"ד""ר ניבש גבריאל",(אלגוריתמים 1 (מצטיינים
0.0,א,52.3.11,20:00 - 18:00,ג,מר רוזנברג דניאל,אלגוריתמים -1תרגיל
0.0,א,60.1.12,21:00 - 19:00,א,מר דרשן אורי,אלגוריתמים -1תרגיל
0.0,א,60.4.12,19:00 - 17:00,ד,גב' ביטון מוריה,אלגוריתמים -1תרגיל
0.0,א,52.3.05,17:00 - 15:00,ג,מר רוזנברג דניאל,אלגוריתמים -1תרגיל
0.0,א,60-1.14,19:00 - 17:00,א,מר סבג אמיר,אלגוריתמים -1תרגיל
0.0,א,60.0.28,17:00 - 15:00,ד,גב' ביטון מוריה,אלגוריתמים -1תרגיל
0.0,א,51.3.01,15:00 - 13:00,ג,מר רוזנברג דניאל,(אלגוריתמים -1תרגיל (מצטיינים
4.0,א,29.3.6,12:00 - 09:00,ה,"ד""ר שזיפי אלישבע",הסתברות 1 למדעי המחשב
4.0,א,29.3.6,16:00 - 13:00,ה,"ד""ר שזיפי אלישבע",הסתברות 1 למדעי המחשב
4.0,א,29.3.6,14:00 - 11:00,א,פרופ' חפץ דן,הסתברות 1 למדעי המחשב
0.0,א,56.2.9,20:00 - 18:00,ב,מר סבג אמיר,הסתברות 1 למדעי המחשב - תרגיל-
0.0,א,58.0.8,18:00 - 16:00,ב,גב' שוב שני,הסתברות 1 למדעי המחשב - תרגיל-
0.0,א,51.2.51,19:00 - 17:00,ב,מר טרושקין,הסתברות 1 למדעי המחשב - תרגיל-
0.0,א,56.2.9,18:00 - 16:00,ג,גב' שוב שני,הסתברות 1 למדעי המחשב - תרגיל-
0.0,א,51.3.05,18:00 - 16:00,ב,מר סבג אמיר,הסתברות 1 למדעי המחשב - תרגיל-
0.0,א,58.0.6,20:00 - 18:00,ג,גב' שוב שני,הסתברות 1 למדעי המחשב - תרגיל-
3.0,א,56.2.9,12:00 - 09:00,ג,"ד""ר ניבש קרן",מבוא לנוירו חישוביות
4.0,א,56.2.9,18:00 - 15:00,ב,"ד""ר כהן איתמר",רשתות תקשורת
4.0,א,56.2.9 / 58.0.6,12:00 - 09:00,ב,"ד""ר כהן איתמר",רשתות תקשורת
4.0,א,60.0.16,18:00 - 15:00,ד,פרופ' דביר עמית זאב,רשתות תקשורת
0.0,א,56.4.11,18:00 - 16:00,ב,גב' רוזנבאום נוי,רשתות תקשורת- תרגיל
0.0,א,09.3.08,21:00 - 19:00,ד,מר וינמן ליאור,רשתות תקשורת- תרגיל
0.0,א,56.3.5,20:00 - 18:00,ב,מר סימנוביץ' רוי,רשתות תקשורת- תרגיל
0.0,א,60.0.28,19:00 - 17:00,ד,מר וינמן ליאור,רשתות תקשורת- תרגיל
0.0,א,09.3.08,19:00 - 17:00,ד,גב' פרבר אנה,רשתות תקשורת- תרגיל
5.0,א,56.2.9,15:00 - 11:00,ב,"ד""ר אנידג'ר אור חיים",תכנות מונחה עצמים
5.0,א,52.4.04,13:00 - 09:00,ד,"ד""ר כהן ליאת",תכנות מונחה עצמים
5.0,א,60.0.16,14:00 - 10:00,ב,"ד""ר כהן ליאת",תכנות מונחה עצמים
0.0,א,09.3.04,21:00 - 19:00,ד,גב' ביטון מוריה,תכנות מונחה עצמים- תרגיל
0.0,א,56.3.5,18:00 - 16:00,ב,גב' ביטון מוריה,תכנות מונחה עצמים- תרגיל
0.0,א,56.4.11,20:00 - 18:00,ב,גב' ביטון מוריה,תכנות מונחה עצמים- תרגיל
0.0,א,09.3.04,19:00 - 17:00,ד,מר עופר משה,תכנות מונחה עצמים- תרגיל
0.0,א,09.4.05,19:00 - 17:00,ד,מר שמחון אילן,תכנות מונחה עצמים- תרגיל
0.0,א,09.4.05,21:00 - 19:00,ד,מר עופר משה,תכנות מונחה עצמים- תרגיל
0.0,א,60.0.28,21:00 - 19:00,ד,מר שמחון אילן,תכנות מונחה עצמים- תרגיל
4.0,א,58-1.25,19:00 - 16:00,ה,"ד""ר בן ארצי גיל",תכנות מערכות 1
4.0,א,58-1.25,16:00 - 13:00,ה,"ד""ר בן ארצי גיל",תכנות מערכות 1
4.0,א,60.0.16,12:00 - 09:00,ד,"ד""ר אופלינסקי אלינב",תכנות מערכות 1
0.0,א,56.3.5,18:00 - 16:00,ג,מר ברייטמן ליאור,תכנות מערכות -1 תרגיל
0.0,א,09.1.04,19:00 - 17:00,א,מר עמוסי יהונתן,תכנות מערכות -1 תרגיל
0.0,א,56.2.9,14:00 - 12:00,ג,גב' סטרמן חרות,תכנות מערכות -1 תרגיל
0.0,א,11.4.07,11:00 - 09:00,ג,גב' סטרמן חרות,תכנות מערכות -1 תרגיל
0.0,א,56.3.5,20:00 - 18:00,ג,מר ברייטמן ליאור,תכנות מערכות -1 תרגיל
0.0,א,09.1.04,21:00 - 19:00,א,מר עמוסי יהונתן,תכנות מערכות -1 תרגיל
