"נ""ז",סמס,חדר,שעות,יום,מורה,שם שעור
4,א,60.0.28,12:00 - 09:00,ג,"לאירבג שבינ ר""ד",1 םימתירוגלא
4,א,56.2.9,16:00 - 13:00,ג,"ןרק שבינ ר""ד",1 םימתירוגלא
4,א,60.0.16,12:00 - 09:00,ה,"ןרק שבינ ר""ד",1 םימתירוגלא
4,א,56.2.9,16:00 - 13:00,ה,"ןרק שבינ ר""ד",1 םימתירוגלא
4,א,53.1.51,13:00 - 10:00,א,"לאירבג שבינ ר""ד",םינייטצמ( 1 םימתירוגלא(
0,א,52.3.11,20:00 - 18:00,ג,לאינד גרבנזור רמ,ליגרת1- םימתירוגלא
0,א,60-1.4,17:00 - 15:00,ד,הירומ ןוטיב 'בג,ליגרת1- םימתירוגלא
0,א,60.1.12,21:00 - 19:00,א,ירוא ןשרד רמ,ליגרת1- םימתירוגלא
0,א,60.4.12,19:00 - 17:00,ד,הירומ ןוטיב 'בג,ליגרת1- םימתירוגלא
0,א,03.2.03,17:00 - 15:00,ג,לאינד גרבנזור רמ,ליגרת1- םימתירוגלא
0,א,60.0.16,15:00 - 13:00,ד,הירומ ןוטיב 'בג,ליגרת1- םימתירוגלא
0,א,60-1.14,19:00 - 17:00,א,רימא גבס רמ,ליגרת1- םימתירוגלא
0,א,51.3.01,15:00 - 13:00,ג,לאינד גרבנזור רמ,םינייטצמ( ליגרת1- םימתירוגלא(
4,א,29.3.6,12:00 - 09:00,ה,"עבשילא יפיזש ר""ד",בשחמה יעדמל 1 תורבתסה
4,א,29.3.6,16:00 - 13:00,ה,"עבשילא יפיזש ר""ד",בשחמה יעדמל 1 תורבתסה
4,א,29.3.6,14:00 - 11:00,א,ןד ץפח 'פורפ,בשחמה יעדמל 1 תורבתסה
0,א,51.3.01,20:00 - 18:00,ב,רימא גבס רמ,-ליגרת בשחמה יעדמל 1 תורבתסה
0,א,58.0.8,18:00 - 16:00,ב,ינש בוש 'בג,-ליגרת בשחמה יעדמל 1 תורבתסה
0,א,51.2.51,19:00 - 17:00,ב,ןיקשורט רמ,-ליגרת בשחמה יעדמל 1 תורבתסה
0,א,56.2.9,18:00 - 16:00,ג,ינש בוש 'בג,-ליגרת בשחמה יעדמל 1 תורבתסה
0,א,51.3.05,18:00 - 16:00,ב,רימא גבס רמ,-ליגרת בשחמה יעדמל 1 תורבתסה
0,א,58.0.6,20:00 - 18:00,ג,ינש בוש 'בג,-ליגרת בשחמה יעדמל 1 תורבתסה
3,א,56.2.9,12:00 - 09:00,ג,"ןרק שבינ ר""ד",תויבושיח וריונל אובמ
4,א,56.2.9,11:00 - 09:00,ב,"רמתיא ןהכ ר""ד",תרושקת תותשר
4,א,56.2.9,12:00 - 09:00,א,"רמתיא ןהכ ר""ד",תרושקת תותשר
4,א,58.0.6,12:00 - 11:00,ב,"רמתיא ןהכ ר""ד",תרושקת תותשר
4,א,60.0.16,18:00 - 15:00,ב,באז תימע ריבד 'פורפ,תרושקת תותשר
4,א,60.0.16,18:00 - 15:00,ד,באז תימע ריבד 'פורפ,תרושקת תותשר
0,א,56.4.11,18:00 - 16:00,ב,יונ םואבנזור 'בג,ליגרת -תרושקת תותשר
0,א,56.4.11,19:00 - 17:00,ד,רואיל ןמניו רמ,ליגרת -תרושקת תותשר
0,א,56.4.11,11:00 - 09:00,ה,עבקנ םרט רמ,ליגרת -תרושקת תותשר
0,א,09.3.08,21:00 - 19:00,ד,רואיל ןמניו רמ,ליגרת -תרושקת תותשר
0,א,56.3.5,20:00 - 18:00,ב,יור 'ץיבונמיס רמ,ליגרת -תרושקת תותשר
0,א,56.4.11,13:00 - 11:00,ה,הנא רברפ 'בג,ליגרת -תרושקת תותשר
0,א,09.3.08,19:00 - 17:00,ד,הנא רברפ 'בג,ליגרת -תרושקת תותשר
5,א,56.2.9,15:00 - 11:00,ב,"םייח רוא ר'גדינא ר""ד",םימצע החנומ תונכת
5,א,52.4.04,13:00 - 09:00,ד,"תאיל ןהכ ר""ד",םימצע החנומ תונכת
5,א,60.0.16,14:00 - 10:00,ב,"תאיל ןהכ ר""ד",םימצע החנומ תונכת
0,א,09.3.04,21:00 - 19:00,ד,הירומ ןוטיב 'בג,ליגרת -םימצע החנומ תונכת
0,א,56.3.5,18:00 - 16:00,ב,הירומ ןוטיב 'בג,ליגרת -םימצע החנומ תונכת
0,א,56.4.11,20:00 - 18:00,ב,הירומ ןוטיב 'בג,ליגרת -םימצע החנומ תונכת
