"נ""ז",סמס,חדר,שעות,יום,מורה,שם שעור
4.0,ב,29.3.6,15:00 - 12:00,ד,"ד""ר פסקין צ'רניאבסקי ענת",אוטומטים ושפות פורמליות
4.0,ב,,12:00 - 09:00,ב,"ד""ר פסקין צ'רניאבסקי ענת",אוטומטים ושפות פורמליות
4.0,ב,,12:00 - 09:00,ד,גב' שוב שני,אוטומטים ושפות פורמליות
0.0,ב,,16:00 - 14:00,א,גב' שוב שני,אוטומטים ושפות פורמליות - תרגיל
0.0,ב,,16:00 - 14:00,א,מר טרם נקבע,אוטומטים ושפות פורמליות - תרגיל
0.0,ב,60-1.14,14:00 - 12:00,ב,מר טרם נקבע,אוטומטים ושפות פורמליות - תרגיל
0.0,ב,,18:00 - 16:00,א,מר טרם נקבע,אוטומטים ושפות פורמליות - תרגיל
0.0,ב,,18:00 - 16:00,א,גב' שוב שני,אוטומטים ושפות פורמליות - תרגיל
0.0,ב,,16:00 - 14:00,ב,מר טרם נקבע,אוטומטים ושפות פורמליות - תרגיל
4.0,ב,,19:00 - 16:00,ב,"ד""ר חורב אלעד",אלגוריתמים 2
4.0,ב,,18:00 - 15:00,ד,"ד""ר חורב אלעד",אלגוריתמים 2
4.0,ב,,15:00 - 12:00,ב,"ד""ר חורב אלעד",(אלגוריתמים 2 (מצטיינים
0.0,ב,,20:00 - 18:00,ב,מר סבג אמיר,אלגוריתמים -2תרגיל
0.0,ב,,14:00 - 12:00,ג,מר רוזנברג דניאל,אלגוריתמים -2תרגיל
0.0,ב,,17:00 - 15:00,ג,מר טרושקין מיכאל,אלגוריתמים -2תרגיל
0.0,ב,,14:00 - 12:00,ג,מר טרושקין מיכאל,אלגוריתמים -2תרגיל
0.0,ב,,15:00 - 13:00,ד,מר סבג אמיר,(אלגוריתמים -2תרגיל (מצטיינים
3.5,ב,,13:00 - 10:00,ד,פרופ' חזון נועם,אלגוריתמים בבינה מלאכותית
3.5,ב,,18:00 - 15:00,ד,פרופ' חזון נועם,אלגוריתמים בבינה מלאכותית
3.0,ב,,12:00 - 09:00,א,"ד""ר דובין רן",הגנת פרוטוקולי תקשורת
2.5,ב,,13:00 - 11:00,א,פרופ' חפץ דן,הסתברות 2 למדעי המחשב
2.5,ב,,16:00 - 14:00,ג,פרופ' חפץ דן,הסתברות 2 למדעי המחשב
2.5,ב,,13:00 - 11:00,ג,פרופ' חפץ דן,הסתברות 2 למדעי המחשב
0.0,ב,,16:00 - 15:00,ד,מר טרושקין מיכאל,הסתברות 2 למדעי המחשב- תרגיל
0.0,ב,,17:00 - 16:00,ב,מר סבג אמיר,הסתברות 2 למדעי המחשב- תרגיל
0.0,ב,,18:00 - 17:00,ד,מר סבג אמיר,הסתברות 2 למדעי המחשב- תרגיל
0.0,ב,,17:00 - 16:00,ד,מר טרם נקבע,הסתברות 2 למדעי המחשב- תרגיל
0.0,ב,,19:00 - 18:00,ד,מר טרם נקבע,הסתברות 2 למדעי המחשב- תרגיל
0.0,ב,,18:00 - 17:00,ב,מר טרושקין מיכאל,הסתברות 2 למדעי המחשב- תרגיל
4.0,ב,,12:00 - 09:00,ג,גב' שקרון מירב,מסדי נתונים
4.0,ב,,18:00 - 15:00,ג,מר טרם נקבע,מסדי נתונים
4.0,ב,,12:00 - 09:00,א,גב' שקרון מירב,מסדי נתונים
0.0,ב,,19:00 - 17:00,ד,מר טרם נקבע,מסדי נתונים-תרגיל
