סמס,חדר,שעות,יום,מורה,שם שעור
ב,20.2.07,12:00 - 09:00,ד,מר מור דורון,אוטומטים ושפות פורמליות
ב,52.4.02,16:00 - 14:00,א,גב' רוט נטע,אוטומטים ושפות פורמליות - תרגיל
ב,52.1.05,16:00 - 14:00,א,גב' שוב שני,אוטומטים ושפות פורמליות - תרגיל
ב,01.2.01,18:00 - 16:00,א,גב' שוב שני,אוטומטים ושפות פורמליות - תרגיל
ב,60.1.12,16:00 - 14:00,ב,גב' רוט נטע,אוטומטים ושפות פורמליות - תרגיל
ב,60.4.4,14:00 - 12:00,ב,גב' שוב שני,אוטומטים ושפות פורמליות - תרגיל
ב,53.4.55,18:00 - 15:00,ד,"ד""ר חורב אלעד",)אלגוריתמים 2 )מצטיינים
ב,52.3.04,14:00 - 12:00,ג,מר רוזנברג דניאל,אלגוריתמים -2תרגיל
ב,52.4.11,19:00 - 17:00,ג,מר רוזנברג דניאל,אלגוריתמים -2תרגיל
ב,,17:00 - 15:00,ב,מר סבג אמיר,)אלגוריתמים -2תרגיל )מצטיינים
ב,52.1.02,16:00 - 14:00,ג,פרופ' חפץ דן,הסתברות 2 למדעי המחשב
ב,52.1.04,17:00 - 16:00,ב,מר שיבולי ליאור,הסתברות 2 למדעי המחשב- תרגיל
ב,56.4.10,19:00 - 18:00,ד,מר טרושקין מיכאל,הסתברות 2 למדעי המחשב- תרגיל
ב,03.2.03,20:00 - 19:00,ב,מר טרושקין מיכאל,הסתברות 2 למדעי המחשב- תרגיל
ב,52.3.12,12:00 - 09:00,ג,גב' שקרון מירב,מסדי נתונים
ב,09.2.06,21:00 - 19:00,ד,גב' גנדלמן נויה,מסדי נתונים-תרגיל
ב,52.1.05,21:00 - 19:00,א,מר טרם נקבע,מסדי נתונים-תרגיל
ב,09.4.04,21:00 - 19:00,ד,מר טרם נקבע,מסדי נתונים-תרגיל
ב,09.4.04,19:00 - 17:00,ד,גב' גנדלמן נויה,מסדי נתונים-תרגיל
ב,60.0.25,15:00 - 12:00,ד,"ד""ר זיידנברג נצר יעקב",מערכות הפעלה
ב,60.0.16,18:00 - 15:00,ה,"ד""ר זיידנברג נצר יעקב",מערכות הפעלה
ב,51.4.51,17:00 - 15:00,א,מר גורודישצר ארקדי,מערכות הפעלה- תרגיל
ב,08.3.05,18:00 - 16:00,א,מר ולד עופר,מערכות הפעלה- תרגיל
ב,11.4.04,16:00 - 14:00,א,מר ולד עופר,מערכות הפעלה- תרגיל
ב,51.4.52,14:00 - 12:00,א,מר גורודישצר ארקדי,מערכות הפעלה- תרגיל
ב,52.1.02,15:00 - 12:00,ה,"ד""ר אופלינסקי אלינה",תכנות מערכות 2
ב,,21:00 - 20:00,ב,מר טרם נקבע,תכנות מערכות -2 מעבדה
ב,,18:00 - 17:00,ב,מר רזינובסקי עמית,תכנות מערכות -2 מעבדה
ב,,21:00 - 20:00,ב,מר ברייטמן ליאור,תכנות מערכות -2 מעבדה
ב,,20:00 - 19:00,ב,מר ברייטמן ליאור,תכנות מערכות -2 מעבדה
ב,,21:00 - 20:00,ג,מר סאלדמן בנימין,תכנות מערכות -2 מעבדה
ב,,20:00 - 19:00,ב,מר טרם נקבע,תכנות מערכות -2 מעבדה
ב,,21:00 - 20:00,א,מר רזינובסקי עמית,תכנות מערכות -2 מעבדה
ב,52.4.11,19:00 - 18:00,א,מר ברייטמן ליאור,תכנות מערכות -2 תרגיל
