מורה,שעות חדר,יום,סמס,בהמתנה,בפעל,מכסה,"ש""ש","נ""ז",שם שעור,של,קוד שעור
"ד""ר פסקין צ'רניאבסקי ענת",29.3.6 15:00 - 12:00,ד,ב,0,38,60,2.5,4,אוטומטים ושפות פורמליות,2,7020211-02
"ד""ר פסקין צ'רניאבסקי ענת",12:00 - 09:00,ב,ב,0,60,60,2.5,4,אוטומטים ושפות פורמליות,2,7020211-03
גב' שוב שני,12:00 - 09:00,ד,ב,0,30,60,2.5,4,אוטומטים ושפות פורמליות,2,7020211-04
גב' שוב שני,16:00 - 14:00,א,ב,0,32,35,0,0,אוטומטים ושפות פורמליות - תרגיל,2,7020224-02
מר טרם נקבע,16:00 - 14:00,א,ב,0,35,35,0,0,אוטומטים ושפות פורמליות - תרגיל,2,7020224-03
מר טרם נקבע,60-1.14 14:00 - 12:00,ב,ב,0,18,30,0,0,אוטומטים ושפות פורמליות - תרגיל,2,7020224-04
מר טרם נקבע,18:00 - 16:00,א,ב,0,9,30,0,0,אוטומטים ושפות פורמליות - תרגיל,2,7020225-02
גב' שוב שני,18:00 - 16:00,א,ב,0,19,30,0,0,אוטומטים ושפות פורמליות - תרגיל,2,7020225-03
מר טרם נקבע,16:00 - 14:00,ב,ב,0,14,30,0,0,אוטומטים ושפות פורמליות - תרגיל,2,7020225-04
"ד""ר חורב אלעד",19:00 - 16:00,ב,ב,0,87,100,2.5,4,אלגוריתמים 2,2,7027110-01
"ד""ר חורב אלעד",18:00 - 15:00,ד,ב,0,64,105,2.5,4,אלגוריתמים 2,2,7027110-02
"ד""ר חורב אלעד",15:00 - 12:00,ב,ב,0,21,40,2.5,4,(אלגוריתמים 2 (מצטיינים,2,7027110-03
מר סבג אמיר,20:00 - 18:00,ב,ב,0,28,50,0,0,אלגוריתמים -2תרגיל,2,7027122-02
מר רוזנברג דניאל,14:00 - 12:00,ג,ב,0,51,51,0,0,אלגוריתמים -2תרגיל,2,7027121-01
מר טרושקין מיכאל,17:00 - 15:00,ג,ב,0,35,50,0,0,אלגוריתמים -2תרגיל,2,7027122-01
מר טרושקין מיכאל,14:00 - 12:00,ג,ב,0,37,51,0,0,אלגוריתמים -2תרגיל,2,7027121-02
מר סבג אמיר,15:00 - 13:00,ד,ב,0,21,30,0,0,(אלגוריתמים -2תרגיל (מצטיינים,2,7027121-03
פרופ' חזון נועם,13:00 - 10:00,ד,ב,0,44,40,2,3.5,אלגוריתמים בבינה מלאכותית,2,7020311-01
פרופ' חזון נועם,18:00 - 15:00,ד,ב,0,35,40,2,3.5,אלגוריתמים בבינה מלאכותית,2,7020311-02
"ד""ר דובין רן",12:00 - 09:00,א,ב,0,17,40,1.5,3,הגנת פרוטוקולי תקשורת,2,7029710-01
פרופ' חפץ דן,13:00 - 11:00,א,ב,0,54,90,1.5,2.5,הסתברות 2 למדעי המחשב,2,7020111-01
פרופ' חפץ דן,16:00 - 14:00,ג,ב,0,51,90,1.5,2.5,הסתברות 2 למדעי המחשב,2,7020111-03
פרופ' חפץ דן,13:00 - 11:00,ג,ב,0,58,90,1.5,2.5,הסתברות 2 למדעי המחשב,2,7020111-02
מר טרושקין מיכאל,16:00 - 15:00,ד,ב,0,32,36,0,0,הסתברות 2 למדעי המחשב- תרגיל,2,7020124-01
מר סבג אמיר,17:00 - 16:00,ב,ב,0,32,36,0,0,הסתברות 2 למדעי המחשב- תרגיל,2,7020124-02
מר סבג אמיר,18:00 - 17:00,ד,ב,0,15,35,0,0,הסתברות 2 למדעי המחשב- תרגיל,2,7020125-01
מר טרם נקבע,17:00 - 16:00,ד,ב,0,20,35,0,0,הסתברות 2 למדעי המחשב- תרגיל,2,7020124-03
מר טרם נקבע,19:00 - 18:00,ד,ב,0,38,45,0,0,הסתברות 2 למדעי המחשב- תרגיל,2,7020125-03
מר טרושקין מיכאל,18:00 - 17:00,ב,ב,0,25,35,0,0,הסתברות 2 למדעי המחשב- תרגיל,2,7020125-02
גב' שקרון מירב,12:00 - 09:00,ג,ב,0,63,63,2.5,4,מסדי נתונים,2,7029210-02
מר טרם נקבע,18:00 - 15:00,ג,ב,0,18,60,2.5,4,מסדי נתונים,2,7029210-03
גב' שקרון מירב,12:00 - 09:00,א,ב,0,21,60,2.5,4,מסדי נתונים,2,7029210-01
מר טרם נקבע,19:00 - 17:00,ד,ב,0,22,30,0,0,מסדי נתונים-תרגיל,2,7029221-02
מר טרם נקבע,21:00 - 19:00,ד,ב,0,33,33,0,0,מסדי נתונים-תרגיל,2,7029222-02
מר טרם נקבע,18:00 - 16:00,ב,ב,0,1,30,0,0,מסדי נתונים-תרגיל,2,7029222-03
מר טרם נקבע,21:00 - 19:00,ד,ב,0,21,30,0,0,מסדי נתונים-תרגיל,2,7029222-01
מר טרם נקבע,21:00 - 19:00,א,ב,0,18,30,0,0,מסדי נתונים-תרגיל,2,7029221-03
מר טרם נקבע,19:00 - 17:00,ד,ב,0,6,30,0,0,מסדי נתונים-תרגיל,2,7029221-01
מר טרם נקבע,16:00 - 12:00,א,ב,0,10,10,2,2,מעבדת סייבר 1,2,7020830-01
מר טרם נקבע,20:00 - 16:00,א,ב,0,5,10,2,2,מעבדת סייבר 1,2,7020830-02
מר טרם נקבע,15:00 - 12:00,ד,ב,0,39,60,2.5,4,מערכות הפעלה,2,7020711-03
